dataset,method,shared_beta,shared_theta,canonical_shared_f1,recomputed_shared_f1,selected_beta,selected_theta,tuned_test_precision,tuned_test_recall,tuned_test_f1,tuned_test_far,tuned_test_storage_reduc,tuned_test_detection_rate_pct,delta_f1_vs_canonical_shared,shared_rank,tuned_rank,rank_change
firefox-android,"ARIMA(1,1,1)",0.3,0.3,0.0893,0.08927485380116959,0.2,0.25,0.09490058479532162,0.22807017543859648,0.12658391812865497,0.024956508771929824,0.9288804093567251,58.82352941176471,0.03728391812865496,4,4,0
firefox-android,LAST,0.3,0.3,0.0718,0.07175029239766083,0.2,0.1,0.05864649122807018,0.24415204678362573,0.09134122807017545,0.041819880116959064,0.703477485380117,63.23529411764706,0.019541228070175443,5,5,0
firefox-android,SMA(w=40),0.3,0.3,0.1039,0.10388011695906434,0.1,0.25,0.1929581871345029,0.2719298245614035,0.21384385964912284,0.010181961988304093,0.9347064327485378,69.85294117647058,0.10994385964912283,2,1,1
firefox-android,EWMA(a=0.05),0.3,0.3,0.1033,0.10334473684210528,0.1,0.2,0.17956315789473684,0.2719298245614035,0.20314766081871347,0.01486877485380117,0.9121415204678363,69.85294117647058,0.09984766081871346,3,2,1
firefox-android,"Transformer(w=20,d=16)",0.3,0.3,0.1051,0.10510766081871346,0.1,0.25,0.11447766081871344,0.2453216374269006,0.1462160233918129,0.018785203508771928,0.6945325146198831,62.6470588235294,0.04111602339181289,1,3,-2
mozilla-beta,"ARIMA(1,1,1)",0.3,0.3,0.0761,0.07605443466486121,0.3,0.5,0.06878199052132701,0.11611374407582939,0.08096777251184835,0.010320645903859173,0.9841767772511849,46.835443037974684,0.004867772511848348,4,5,-1
mozilla-beta,LAST,0.3,0.3,0.0685,0.06850203114421123,0.1,0.1,0.05489383886255925,0.22980142180094787,0.08261320243737305,0.04064315030467163,0.6644309410968179,87.59493670886076,0.014113202437373046,5,4,1
mozilla-beta,SMA(w=20),0.3,0.3,0.0847,0.08469113067027759,0.3,0.5,0.0881529451591063,0.17276012186865267,0.11017352742044685,0.012655192958700068,0.9728630331753554,66.83544303797468,0.025473527420446854,1,1,0
mozilla-beta,EWMA(a=0.05),0.3,0.3,0.083,0.08297596479350033,0.3,0.5,0.08784346648612051,0.1741706838185511,0.10891550440081246,0.013661153689911982,0.9700769803656061,67.84810126582278,0.02591550440081246,2,2,0
mozilla-beta,"Transformer(w=10,d=32)",0.3,0.3,0.0789,0.07888117806364252,0.1,0.1,0.07127275558564658,0.24741593771157747,0.10074226134055517,0.037396365876777256,0.4626050372376439,93.51898734177216,0.02184226134055517,3,3,0
