dataset,signature_id,T_total,T_train,T_val,T_test,n_params,trans_train_time_s,trans_train_mem_KB,trans_n_epochs,trans_infer_time_s,trans_infer_time_ms_per_step,trans_infer_mem_KB,arima_fit_time_s,arima_fit_mem_KB,arima_infer_time_s,arima_infer_time_ms_per_step,arima_infer_mem_KB,sma_infer_time_s,sma_infer_time_ms_per_step,sma_infer_mem_KB,ewma_infer_time_s,ewma_infer_time_ms_per_step,ewma_infer_mem_KB,last_infer_time_s,last_infer_time_ms_per_step,last_infer_mem_KB
firefox-android,4669835,2662,1597,532,533,2273,7.8654,49832.0,20,0.602984,1.1313,400.0,0.1929,1856.0,5.731,10.752,376.0,0.049569,0.093,0.0,0.030305,0.0569,0.0,0.036326,0.0682,0.0
firefox-android,4653861,729,437,146,146,2273,0.9163,3444.0,20,0.160179,1.0971,16.0,0.1791,708.0,1.4578,9.985,120.0,0.015379,0.1053,0.0,0.013886,0.0951,0.0,0.008579,0.0588,0.0
firefox-android,4653862,729,437,146,146,2273,0.9668,0.0,20,0.172778,1.1834,20.0,0.1893,100.0,1.5024,10.29,20.0,0.016769,0.1149,0.0,0.01041,0.0713,0.0,0.011149,0.0764,0.0
firefox-android,4653863,729,437,146,146,2273,1.043,76.0,20,0.216496,1.4828,24.0,0.1634,16.0,1.5559,10.657,52.0,0.023784,0.1629,0.0,0.010368,0.071,0.0,0.010993,0.0753,0.0
firefox-android,4653864,729,437,146,146,2273,1.1022,0.0,20,0.21475,1.4709,12.0,0.1951,16.0,1.641,11.24,0.0,0.015872,0.1087,0.0,0.008226,0.0563,0.0,0.010884,0.0746,0.0
firefox-android,4653865,729,437,146,146,2273,1.0782,0.0,20,0.310793,2.1287,12.0,0.245,0.0,1.8519,12.684,0.0,0.012367,0.0847,0.0,0.008513,0.0583,0.0,0.009856,0.0675,0.0
firefox-android,4653867,729,437,146,146,2273,1.0704,0.0,20,0.232445,1.5921,12.0,0.3039,0.0,1.879,12.87,8.0,0.020989,0.1438,0.0,0.014922,0.1022,0.0,0.015264,0.1045,0.0
firefox-android,4653869,729,437,146,146,2273,1.2965,0.0,20,0.296503,2.0308,12.0,0.3197,0.0,1.8421,12.617,0.0,0.017594,0.1205,0.0,0.015449,0.1058,0.0,0.014313,0.098,0.0
firefox-android,4653870,729,437,146,146,2273,0.9898,0.0,20,0.141076,0.9663,12.0,0.0688,0.0,1.0563,7.235,0.0,0.012219,0.0837,0.0,0.008831,0.0605,0.0,0.009383,0.0643,0.0
firefox-android,4653871,729,437,146,146,2273,0.841,0.0,20,0.130944,0.8969,12.0,0.0669,0.0,0.6584,4.509,0.0,0.006912,0.0473,0.0,0.004914,0.0337,0.0,0.004793,0.0328,0.0
firefox-android,4653872,729,437,146,146,2273,0.694,0.0,20,0.123317,0.8446,12.0,0.0978,0.0,0.6568,4.499,0.0,0.006636,0.0454,0.0,0.004474,0.0306,0.0,0.00443,0.0303,0.0
firefox-android,4653873,729,437,146,146,2273,0.6407,0.0,20,0.101652,0.6962,12.0,0.0577,0.0,0.7763,5.317,0.0,0.006984,0.0478,0.0,0.004707,0.0322,0.0,0.0047,0.0322,0.0
firefox-android,4653874,729,437,146,146,2273,0.6607,0.0,20,0.082859,0.5675,12.0,0.0757,0.0,0.8968,6.143,0.0,0.012132,0.0831,0.0,0.008696,0.0596,0.0,0.009042,0.0619,0.0
firefox-android,4653876,729,437,146,146,2273,0.6482,0.0,20,0.088999,0.6096,12.0,0.0544,0.0,1.1066,7.58,0.0,0.01779,0.1218,0.0,0.01506,0.1032,0.0,0.011859,0.0812,0.0
firefox-android,4653878,729,437,146,146,2273,1.2659,0.0,20,0.167621,1.1481,12.0,0.1235,0.0,1.4659,10.04,0.0,0.021024,0.144,0.0,0.014958,0.1025,0.0,0.013111,0.0898,0.0
firefox-android,4653879,728,437,146,145,2273,0.9734,0.0,20,0.120744,0.8327,12.0,0.1734,0.0,0.7786,5.369,0.0,0.01012,0.0698,0.0,0.00715,0.0493,0.0,0.007057,0.0487,0.0
firefox-android,4653880,728,437,146,145,2273,0.6276,0.0,20,0.099401,0.6855,12.0,0.1279,0.0,0.9168,6.323,0.0,0.007483,0.0516,0.0,0.004614,0.0318,0.0,0.005159,0.0356,0.0
firefox-android,4653881,728,437,146,145,2273,0.6,0.0,20,0.088054,0.6073,12.0,0.1159,0.0,0.6854,4.727,8.0,0.00726,0.0501,0.0,0.004689,0.0323,0.0,0.004544,0.0313,0.0
firefox-android,4653882,728,437,146,145,2273,0.6767,0.0,20,0.10208,0.704,12.0,0.1235,0.0,0.7368,5.081,8.0,0.006873,0.0474,0.0,0.00464,0.032,0.0,0.004564,0.0315,0.0
firefox-android,4653883,728,437,146,145,2273,0.5755,0.0,20,0.083121,0.5732,12.0,0.1822,0.0,0.9178,6.33,0.0,0.011473,0.0791,0.0,0.007859,0.0542,0.0,0.006401,0.0441,0.0
firefox-android,4653885,728,437,146,145,2273,0.6316,0.0,20,0.09736,0.6714,12.0,0.1017,0.0,0.6978,4.813,4.0,0.008262,0.057,0.0,0.005356,0.0369,0.0,0.005061,0.0349,0.0
firefox-android,4653887,728,437,146,145,2273,0.5687,0.0,20,0.097717,0.6739,12.0,0.1084,0.0,0.9755,6.728,8.0,0.012391,0.0855,0.0,0.008296,0.0572,0.0,0.010688,0.0737,0.0
firefox-android,4653888,728,437,146,145,2273,0.5991,0.0,20,0.078202,0.5393,12.0,0.0791,0.0,0.7531,5.194,0.0,0.007426,0.0512,0.0,0.005884,0.0406,0.0,0.005115,0.0353,0.0
firefox-android,4653889,728,437,146,145,2273,0.6299,0.0,20,0.100329,0.6919,12.0,0.0767,0.0,0.9519,6.565,0.0,0.007197,0.0496,0.0,0.004744,0.0327,0.0,0.00671,0.0463,0.0
firefox-android,4653890,728,437,146,145,2273,0.5868,0.0,20,0.085536,0.5899,12.0,0.0723,0.0,0.8058,5.557,0.0,0.012422,0.0857,0.0,0.008549,0.059,0.0,0.005111,0.0352,0.0
firefox-android,4653891,728,437,146,145,2273,0.8243,0.0,20,0.145318,1.0022,12.0,0.1694,0.0,0.7786,5.369,0.0,0.007219,0.0498,0.0,0.004734,0.0326,0.0,0.005539,0.0382,0.0
firefox-android,4653892,728,437,146,145,2273,0.5561,0.0,20,0.127024,0.876,12.0,0.3383,0.0,1.6463,11.354,0.0,0.016918,0.1167,0.0,0.007433,0.0513,0.0,0.011663,0.0804,0.0
firefox-android,4653894,728,437,146,145,2273,0.8902,0.0,20,0.147375,1.0164,12.0,0.0886,0.0,1.0412,7.181,0.0,0.012527,0.0864,0.0,0.007231,0.0499,0.0,0.008428,0.0581,0.0
firefox-android,4653896,728,437,146,145,2273,0.9649,0.0,20,0.163633,1.1285,12.0,0.2022,0.0,1.2917,8.909,8.0,0.012937,0.0892,0.0,0.009189,0.0634,0.0,0.007359,0.0508,0.0
firefox-android,4654312,704,422,141,141,2273,0.8712,0.0,20,0.12009,0.8517,0.0,0.1311,4.0,1.212,8.596,0.0,0.012746,0.0904,0.0,0.009971,0.0707,0.0,0.010227,0.0725,0.0
firefox-android,4654313,704,422,141,141,2273,1.0235,0.0,20,0.174235,1.2357,0.0,0.3112,0.0,1.5721,11.149,8.0,0.013613,0.0965,0.0,0.00925,0.0656,0.0,0.010481,0.0743,0.0
firefox-android,4654314,704,422,141,141,2273,0.8751,8.0,19,0.145368,1.031,0.0,0.2132,0.0,1.3949,9.893,0.0,0.012277,0.0871,0.0,0.006999,0.0496,0.0,0.011864,0.0841,0.0
firefox-android,4654315,704,422,141,141,2273,0.8375,0.0,20,0.141918,1.0065,0.0,0.202,0.0,1.1529,8.176,0.0,0.018693,0.1326,0.0,0.008623,0.0612,0.0,0.008666,0.0615,0.0
firefox-android,4654316,704,422,141,141,2273,0.8629,0.0,20,0.154996,1.0993,0.0,0.3532,0.0,1.4228,10.091,0.0,0.018033,0.1279,0.0,0.009489,0.0673,0.0,0.007408,0.0525,0.0
firefox-android,4654318,704,422,141,141,2273,0.8503,0.0,20,0.136063,0.965,0.0,0.1439,0.0,1.1747,8.331,0.0,0.019503,0.1383,0.0,0.012626,0.0895,0.0,0.013961,0.099,0.0
firefox-android,4654320,704,422,141,141,2273,1.0332,0.0,20,0.156732,1.1116,0.0,0.2069,0.0,1.2535,8.89,0.0,0.011682,0.0828,0.0,0.008067,0.0572,0.0,0.012798,0.0908,0.0
firefox-android,4654321,704,422,141,141,2273,0.8614,0.0,20,0.158346,1.123,0.0,0.2165,0.0,1.3843,9.818,0.0,0.017262,0.1224,0.0,0.012138,0.0861,0.0,0.009495,0.0673,0.0
firefox-android,4654322,704,422,141,141,2273,0.8706,0.0,20,0.125907,0.893,0.0,0.1886,0.0,1.9158,13.588,0.0,0.019785,0.1403,0.0,0.013963,0.099,0.0,0.014401,0.1021,0.0
firefox-android,4654323,704,422,141,141,2273,1.1335,0.0,20,0.231141,1.6393,0.0,0.2077,0.0,1.3933,9.881,0.0,0.01944,0.1379,0.0,0.011655,0.0827,0.0,0.013177,0.0935,0.0
firefox-android,4654324,704,422,141,141,2273,0.9022,0.0,20,0.142925,1.0137,0.0,0.0542,0.0,1.2284,8.712,0.0,0.022537,0.1598,0.0,0.017601,0.1248,0.0,0.012544,0.089,0.0
firefox-android,4654325,704,422,141,141,2273,0.975,0.0,20,0.156883,1.1126,0.0,0.2299,0.0,1.4483,10.272,0.0,0.021746,0.1542,0.0,0.015618,0.1108,0.0,0.019609,0.1391,0.0
firefox-android,4654327,704,422,141,141,2273,1.4552,0.0,20,0.263687,1.8701,0.0,0.2484,0.0,1.8466,13.096,0.0,0.015508,0.11,0.0,0.010112,0.0717,0.0,0.015286,0.1084,0.0
firefox-android,4654329,704,422,141,141,2273,1.2358,0.0,20,0.172196,1.2212,0.0,0.1862,0.0,1.4842,10.526,0.0,0.021266,0.1508,0.0,0.014749,0.1046,0.0,0.014032,0.0995,0.0
firefox-android,4654059,690,414,138,138,2273,1.3338,4.0,20,0.151004,1.0942,0.0,0.1948,0.0,1.0031,7.269,0.0,0.020441,0.1481,0.0,0.01834,0.1329,0.0,0.018466,0.1338,0.0
firefox-android,4654060,690,414,138,138,2273,0.8593,0.0,20,0.15731,1.1399,0.0,0.1402,0.0,1.2434,9.01,0.0,0.01938,0.1404,0.0,0.013046,0.0945,0.0,0.011998,0.0869,0.0
firefox-android,4654061,690,414,138,138,2273,0.9206,0.0,20,0.134778,0.9767,0.0,0.1193,0.0,0.9545,6.917,0.0,0.016509,0.1196,0.0,0.009664,0.07,0.0,0.007052,0.0511,0.0
firefox-android,4654062,690,414,138,138,2273,0.8008,0.0,20,0.181601,1.3159,0.0,0.168,0.0,1.1792,8.545,0.0,0.010335,0.0749,0.0,0.006153,0.0446,0.0,0.004159,0.0301,0.0
firefox-android,4654063,690,414,138,138,2273,0.508,0.0,20,0.088434,0.6408,0.0,0.1282,0.0,0.6771,4.907,0.0,0.006987,0.0506,0.0,0.004761,0.0345,0.0,0.005519,0.04,0.0
firefox-android,4654065,690,414,138,138,2273,0.6207,0.0,20,0.11282,0.8175,0.0,0.0821,0.0,0.7048,5.107,0.0,0.007004,0.0508,0.0,0.004698,0.034,0.0,0.005413,0.0392,0.0
firefox-android,4654067,690,414,138,138,2273,0.5325,0.0,20,0.09111,0.6602,0.0,0.0931,0.0,0.8908,6.455,0.0,0.010215,0.074,0.0,0.004466,0.0324,0.0,0.004279,0.031,0.0
