beta,method,mean_precision,mean_recall,mean_f1,mean_far
0.1,ARIMA,0.1732,0.2103,0.1825,0.003219
0.1,LAST,0.0164,0.0187,0.0171,0.004096
0.1,SMA,0.3847,0.472,0.4098,0.004863
0.1,EWMA,0.0389,0.0421,0.0397,0.002033
0.2,ARIMA,0.2035,0.479,0.2661,0.017622
0.2,LAST,0.0324,0.1121,0.048,0.024477
0.2,SMA,0.2687,0.5864,0.3388,0.017986
0.2,EWMA,0.1562,0.3925,0.2066,0.017297
0.3,ARIMA,0.0858,0.5444,0.1444,0.053873
0.3,LAST,0.0639,0.4463,0.1094,0.053315
0.3,SMA,0.0915,0.5911,0.1545,0.053175
0.3,EWMA,0.0728,0.5023,0.1236,0.056686
0.5,ARIMA,0.0857,0.5397,0.1441,0.054728
0.5,LAST,0.0631,0.4463,0.1082,0.053793
0.5,SMA,0.0926,0.5911,0.1561,0.053982
0.5,EWMA,0.0701,0.479,0.1189,0.057023
0.7,ARIMA,0.0817,0.5023,0.1367,0.057253
0.7,LAST,0.0623,0.4463,0.1069,0.054825
0.7,SMA,0.0923,0.535,0.153,0.056512
0.7,EWMA,0.0689,0.4603,0.1162,0.057892
