threshold,method,mean_precision,mean_recall,mean_f1,mean_far
0.1,ARIMA,0.0966,0.5911,0.1624,0.042099
0.1,LAST,0.0856,0.5818,0.1473,0.042772
0.1,SMA,0.0952,0.5911,0.1608,0.041168
0.1,EWMA,0.0867,0.5911,0.1487,0.044996
0.15,ARIMA,0.0968,0.5911,0.1622,0.046834
0.15,LAST,0.0694,0.4883,0.1197,0.046785
0.15,SMA,0.095,0.5911,0.1598,0.045985
0.15,EWMA,0.0885,0.5911,0.1506,0.049828
0.2,ARIMA,0.0954,0.5911,0.1601,0.048739
0.2,LAST,0.0647,0.4556,0.1113,0.048996
0.2,SMA,0.0945,0.5911,0.1588,0.048094
0.2,EWMA,0.087,0.5864,0.148,0.051729
0.25,ARIMA,0.091,0.5911,0.1539,0.052637
0.25,LAST,0.0635,0.4463,0.109,0.05245
0.25,SMA,0.0903,0.5911,0.1528,0.051736
0.25,EWMA,0.0831,0.5771,0.1416,0.055435
0.3,ARIMA,0.0858,0.5444,0.1445,0.05382
0.3,LAST,0.0638,0.4463,0.1093,0.053262
0.3,SMA,0.0916,0.5911,0.1547,0.053078
0.3,EWMA,0.0727,0.5023,0.1235,0.056764
0.4,ARIMA,0.2137,0.465,0.2716,0.016738
0.4,LAST,0.0317,0.1028,0.0463,0.023708
0.4,SMA,0.2715,0.5864,0.3416,0.018201
0.4,EWMA,0.154,0.3598,0.2005,0.016001
0.5,ARIMA,0.2267,0.4019,0.2697,0.010963
0.5,LAST,0.0249,0.0748,0.0357,0.018622
0.5,SMA,0.3011,0.5117,0.3546,0.011784
0.5,EWMA,0.1815,0.3037,0.2146,0.008816
