beta,theta,mean_precision,mean_recall,mean_f1,mean_far,method
0.1,0.1,0.0681,0.3738,0.1097,0.042582,ARIMA
0.1,0.15,0.0654,0.2477,0.1004,0.025297,ARIMA
0.1,0.2,0.0706,0.1636,0.0909,0.015394,ARIMA
0.1,0.25,0.0644,0.1075,0.0739,0.00861,ARIMA
0.1,0.3,0.0179,0.0467,0.0227,0.004382,ARIMA
0.1,0.4,0.0047,0.0047,0.0047,0.001253,ARIMA
0.1,0.5,0.0047,0.0047,0.0047,0.000512,ARIMA
0.2,0.1,0.0686,0.3785,0.113,0.040627,ARIMA
0.2,0.15,0.0537,0.3388,0.0903,0.047225,ARIMA
0.2,0.2,0.044,0.3107,0.0752,0.052805,ARIMA
0.2,0.25,0.0456,0.1752,0.0693,0.025247,ARIMA
0.2,0.3,0.0398,0.1402,0.0598,0.019999,ARIMA
0.2,0.4,0.0222,0.0561,0.0286,0.008533,ARIMA
0.2,0.5,0.015,0.028,0.0179,0.003424,ARIMA
0.3,0.1,0.0609,0.3575,0.1018,0.042618,ARIMA
0.3,0.15,0.0467,0.3014,0.0788,0.048576,ARIMA
0.3,0.2,0.0404,0.2593,0.0678,0.050748,ARIMA
0.3,0.25,0.0347,0.25,0.0592,0.055227,ARIMA
0.3,0.3,0.0341,0.25,0.0583,0.056446,ARIMA
0.3,0.4,0.0378,0.1355,0.057,0.019261,ARIMA
0.3,0.5,0.0431,0.0958,0.0565,0.013017,ARIMA
0.5,0.1,0.0419,0.2593,0.0699,0.048297,ARIMA
0.5,0.15,0.039,0.25,0.0653,0.051177,ARIMA
0.5,0.2,0.0383,0.25,0.0644,0.052239,ARIMA
0.5,0.25,0.0386,0.25,0.0647,0.052666,ARIMA
0.5,0.3,0.0339,0.25,0.0579,0.057358,ARIMA
0.5,0.4,0.0326,0.2453,0.0557,0.058959,ARIMA
0.5,0.5,0.0324,0.2453,0.0554,0.059975,ARIMA
0.7,0.1,0.0386,0.25,0.0647,0.052666,ARIMA
0.7,0.15,0.0386,0.25,0.0647,0.052666,ARIMA
0.7,0.2,0.0386,0.25,0.0647,0.052666,ARIMA
0.7,0.25,0.0336,0.25,0.0574,0.058181,ARIMA
0.7,0.3,0.0324,0.2453,0.0554,0.059975,ARIMA
0.7,0.4,0.0324,0.2453,0.0554,0.059975,ARIMA
0.7,0.5,0.0324,0.2453,0.0554,0.059975,ARIMA
0.1,0.1,0.0738,0.4206,0.1224,0.041106,LAST
0.1,0.15,0.0447,0.2056,0.0723,0.029636,LAST
0.1,0.2,0.0495,0.1168,0.0636,0.018807,LAST
0.1,0.25,0.0315,0.0467,0.036,0.010198,LAST
0.1,0.3,0.0023,0.0047,0.0031,0.004178,LAST
0.1,0.4,0.0,0.0,0.0,0.000597,LAST
0.1,0.5,0.0,0.0,0.0,0.0,LAST
0.2,0.1,0.0668,0.3785,0.1106,0.040935,LAST
0.2,0.15,0.0536,0.3294,0.0898,0.046426,LAST
0.2,0.2,0.0496,0.3178,0.0842,0.051321,LAST
