dataset,method,signature_id,T_total,T_train,T_val,T_test,param,seed,test_n_alerts,test_has_alert,test_detected,test_precision,test_recall,test_f1,test_far,test_storage_reduc,test_tp_iv,test_fp_iv,test_tp_al,test_fn_al,test_mean_delay,test_n_on
firefox-android,"ARIMA(1,1,1)",4669835,2662,1597,532,533,0.3,,0,False,False,0.0,0.0,0.0,0.041276,0.9531,0,22,0,0,,25
firefox-android,"ARIMA(1,1,1)",4653861,729,437,146,146,0.3,,1,True,True,0.2857,1.0,0.4444,0.034247,0.9384,2,5,1,0,0.0,9
firefox-android,"ARIMA(1,1,1)",4653862,729,437,146,146,0.3,,1,True,True,0.25,1.0,0.4,0.041096,0.9247,2,6,1,0,0.0,11
firefox-android,"ARIMA(1,1,1)",4653863,729,437,146,146,0.3,,1,True,True,0.1667,1.0,0.2857,0.034247,0.9521,1,5,1,0,0.0,7
firefox-android,"ARIMA(1,1,1)",4653864,729,437,146,146,0.3,,1,True,True,0.3333,1.0,0.5,0.027397,0.9178,2,4,1,0,0.0,12
firefox-android,"ARIMA(1,1,1)",4653865,729,437,146,146,0.3,,1,True,True,0.4,1.0,0.5714,0.020548,0.9247,2,3,1,0,0.0,11
firefox-android,"ARIMA(1,1,1)",4653867,729,437,146,146,0.3,,0,False,False,0.0,0.0,0.0,0.10274,0.8219,0,15,0,0,,26
firefox-android,"ARIMA(1,1,1)",4653869,729,437,146,146,0.3,,0,False,False,0.0,0.0,0.0,0.047945,0.9247,0,7,0,0,,11
firefox-android,"ARIMA(1,1,1)",4653870,729,437,146,146,0.3,,0,False,False,0.0,0.0,0.0,0.061644,0.9384,0,9,0,0,,9
firefox-android,"ARIMA(1,1,1)",4653871,729,437,146,146,0.3,,0,False,False,0.0,0.0,0.0,0.047945,0.9521,0,7,0,0,,7
firefox-android,"ARIMA(1,1,1)",4653872,729,437,146,146,0.3,,0,False,False,0.0,0.0,0.0,0.068493,0.8973,0,10,0,0,,15
firefox-android,"ARIMA(1,1,1)",4653873,729,437,146,146,0.3,,0,False,False,0.0,0.0,0.0,0.068493,0.9315,0,10,0,0,,10
firefox-android,"ARIMA(1,1,1)",4653874,729,437,146,146,0.3,,0,False,False,0.0,0.0,0.0,0.061644,0.9178,0,9,0,0,,12
firefox-android,"ARIMA(1,1,1)",4653876,729,437,146,146,0.3,,0,False,False,0.0,0.0,0.0,0.061644,0.9178,0,9,0,0,,12
firefox-android,"ARIMA(1,1,1)",4653878,729,437,146,146,0.3,,0,False,False,0.0,0.0,0.0,0.068493,0.8973,0,10,0,0,,15
firefox-android,"ARIMA(1,1,1)",4653879,728,437,146,145,0.3,,0,False,False,0.0,0.0,0.0,0.041379,0.9586,0,6,0,0,,6
firefox-android,"ARIMA(1,1,1)",4653880,728,437,146,145,0.3,,0,False,False,0.0,0.0,0.0,0.027586,0.9517,0,4,0,0,,7
firefox-android,"ARIMA(1,1,1)",4653881,728,437,146,145,0.3,,0,False,False,0.0,0.0,0.0,0.027586,0.9586,0,4,0,0,,6
firefox-android,"ARIMA(1,1,1)",4653882,728,437,146,145,0.3,,0,False,False,0.0,0.0,0.0,0.034483,0.9517,0,5,0,0,,7
firefox-android,"ARIMA(1,1,1)",4653883,728,437,146,145,0.3,,0,False,False,0.0,0.0,0.0,0.034483,0.9517,0,5,0,0,,7
firefox-android,"ARIMA(1,1,1)",4653885,728,437,146,145,0.3,,0,False,False,0.0,0.0,0.0,0.048276,0.931,0,7,0,0,,10
firefox-android,"ARIMA(1,1,1)",4653887,728,437,146,145,0.3,,0,False,False,0.0,0.0,0.0,0.041379,0.9448,0,6,0,0,,8
firefox-android,"ARIMA(1,1,1)",4653888,728,437,146,145,0.3,,0,False,False,0.0,0.0,0.0,0.096552,0.8621,0,14,0,0,,20
firefox-android,"ARIMA(1,1,1)",4653889,728,437,146,145,0.3,,0,False,False,0.0,0.0,0.0,0.089655,0.8966,0,13,0,0,,15
firefox-android,"ARIMA(1,1,1)",4653890,728,437,146,145,0.3,,1,True,True,0.2,1.0,0.3333,0.055172,0.869,2,8,1,0,-5.0,19
firefox-android,"ARIMA(1,1,1)",4653891,728,437,146,145,0.3,,0,False,False,0.0,0.0,0.0,0.089655,0.869,0,13,0,0,,19
firefox-android,"ARIMA(1,1,1)",4653892,728,437,146,145,0.3,,1,True,True,0.1429,1.0,0.25,0.041379,0.9172,1,6,1,0,1.0,12
firefox-android,"ARIMA(1,1,1)",4653894,728,437,146,145,0.3,,0,False,False,0.0,0.0,0.0,0.096552,0.9034,0,14,0,0,,14
firefox-android,"ARIMA(1,1,1)",4653896,728,437,146,145,0.3,,1,True,True,0.1111,1.0,0.2,0.055172,0.9103,1,8,1,0,-7.0,13
firefox-android,"ARIMA(1,1,1)",4654312,704,422,141,141,0.3,,1,True,False,0.0,0.0,0.0,0.06383,0.922,0,9,0,1,,11
firefox-android,"ARIMA(1,1,1)",4654313,704,422,141,141,0.3,,0,False,False,0.0,0.0,0.0,0.042553,0.9362,0,6,0,0,,9
firefox-android,"ARIMA(1,1,1)",4654314,704,422,141,141,0.3,,1,True,False,0.0,0.0,0.0,0.042553,0.9362,0,6,0,1,,9
firefox-android,"ARIMA(1,1,1)",4654315,704,422,141,141,0.3,,1,True,True,0.2,1.0,0.3333,0.028369,0.9362,1,4,1,0,1.0,9
firefox-android,"ARIMA(1,1,1)",4654316,704,422,141,141,0.3,,1,True,False,0.0,0.0,0.0,0.028369,0.9078,0,4,0,1,,13
firefox-android,"ARIMA(1,1,1)",4654318,704,422,141,141,0.3,,1,True,False,0.0,0.0,0.0,0.056738,0.9078,0,8,0,1,,13
firefox-android,"ARIMA(1,1,1)",4654320,704,422,141,141,0.3,,1,True,False,0.0,0.0,0.0,0.035461,0.9362,0,5,0,1,,9
firefox-android,"ARIMA(1,1,1)",4654321,704,422,141,141,0.3,,1,True,False,0.0,0.0,0.0,0.049645,0.9291,0,7,0,1,,10
firefox-android,"ARIMA(1,1,1)",4654322,704,422,141,141,0.3,,1,True,False,0.0,0.0,0.0,0.042553,0.922,0,6,0,1,,11
firefox-android,"ARIMA(1,1,1)",4654323,704,422,141,141,0.3,,1,True,False,0.0,0.0,0.0,0.035461,0.9291,0,5,0,1,,10
firefox-android,"ARIMA(1,1,1)",4654324,704,422,141,141,0.3,,1,True,False,0.0,0.0,0.0,0.028369,0.922,0,4,0,1,,11
firefox-android,"ARIMA(1,1,1)",4654325,704,422,141,141,0.3,,1,True,False,0.0,0.0,0.0,0.06383,0.8652,0,9,0,1,,19
firefox-android,"ARIMA(1,1,1)",4654327,704,422,141,141,0.3,,1,True,False,0.0,0.0,0.0,0.049645,0.9362,0,7,0,1,,9
firefox-android,"ARIMA(1,1,1)",4654329,704,422,141,141,0.3,,1,True,False,0.0,0.0,0.0,0.049645,0.8865,0,7,0,1,,16
