dataset,method,signature_id,T_total,T_train,T_val,T_test,param,seed,test_n_alerts,test_has_alert,test_detected,test_precision,test_recall,test_f1,test_far,test_storage_reduc,test_tp_iv,test_fp_iv,test_tp_al,test_fn_al,test_mean_delay,test_n_on
mozilla-beta,"ARIMA(1,1,1)",2715503,3473,2084,695,694,0.3,,0,False,False,0.0,0.0,0.0,0.053314,0.9121,0,37,0,0,,61
mozilla-beta,"ARIMA(1,1,1)",4167866,1366,820,273,273,0.3,,0,False,False,0.0,0.0,0.0,0.062271,0.8755,0,17,0,0,,34
mozilla-beta,"ARIMA(1,1,1)",4167868,1366,820,273,273,0.3,,0,False,False,0.0,0.0,0.0,0.047619,0.9377,0,13,0,0,,17
mozilla-beta,"ARIMA(1,1,1)",4167870,1366,820,273,273,0.3,,0,False,False,0.0,0.0,0.0,0.080586,0.8901,0,22,0,0,,30
mozilla-beta,"ARIMA(1,1,1)",4167872,1366,820,273,273,0.3,,1,True,True,0.0526,1.0,0.1,0.065934,0.8938,1,18,1,0,4.0,29
mozilla-beta,"ARIMA(1,1,1)",4168118,1366,820,273,273,0.3,,2,True,True,0.2143,1.0,0.3529,0.040293,0.9231,3,11,2,0,-2.0,21
mozilla-beta,"ARIMA(1,1,1)",4168119,1366,820,273,273,0.3,,0,False,False,0.0,0.0,0.0,0.080586,0.9048,0,22,0,0,,26
mozilla-beta,"ARIMA(1,1,1)",4168120,1366,820,273,273,0.3,,3,True,True,0.2857,1.0,0.4444,0.03663,0.9341,4,10,3,0,-1.33,18
mozilla-beta,"ARIMA(1,1,1)",4168121,1366,820,273,273,0.3,,2,True,True,0.1667,1.0,0.2857,0.054945,0.9048,3,15,2,0,-2.5,26
mozilla-beta,"ARIMA(1,1,1)",4168123,1366,820,273,273,0.3,,3,True,True,0.2143,1.0,0.3529,0.040293,0.9267,3,11,3,0,-0.33,20
mozilla-beta,"ARIMA(1,1,1)",4168124,1366,820,273,273,0.3,,3,True,True,0.1739,1.0,0.2963,0.069597,0.8755,4,19,3,0,-1.0,34
mozilla-beta,"ARIMA(1,1,1)",4168126,1366,820,273,273,0.3,,3,True,True,0.1875,1.0,0.3158,0.047619,0.9194,3,13,3,0,0.0,22
mozilla-beta,"ARIMA(1,1,1)",4168127,1366,820,273,273,0.3,,4,True,True,0.25,0.75,0.375,0.054945,0.8791,5,15,3,1,-1.33,33
mozilla-beta,"ARIMA(1,1,1)",4168129,1366,820,273,273,0.3,,3,True,True,0.2143,1.0,0.3529,0.040293,0.9267,3,11,3,0,0.0,20
mozilla-beta,"ARIMA(1,1,1)",2259498,1267,760,253,254,0.3,,1,True,True,0.5,1.0,0.6667,0.003937,0.9921,1,1,1,0,0.0,2
mozilla-beta,"ARIMA(1,1,1)",2259499,1267,760,253,254,0.3,,4,True,True,0.625,1.0,0.7692,0.011811,0.937,5,3,4,0,-0.75,16
mozilla-beta,"ARIMA(1,1,1)",4167806,1266,760,253,253,0.3,,2,True,False,0.0,0.0,0.0,0.063241,0.9091,0,16,0,2,,23
mozilla-beta,"ARIMA(1,1,1)",4167808,1266,760,253,253,0.3,,2,True,True,0.0714,0.5,0.125,0.051383,0.9209,1,13,1,1,5.0,20
mozilla-beta,"ARIMA(1,1,1)",4167970,1266,760,253,253,0.3,,1,True,False,0.0,0.0,0.0,0.059289,0.9091,0,15,0,1,,23
mozilla-beta,"ARIMA(1,1,1)",4167971,1266,760,253,253,0.3,,1,True,False,0.0,0.0,0.0,0.051383,0.917,0,13,0,1,,21
mozilla-beta,"ARIMA(1,1,1)",4167972,1266,760,253,253,0.3,,1,True,False,0.0,0.0,0.0,0.059289,0.9091,0,15,0,1,,23
mozilla-beta,"ARIMA(1,1,1)",4167973,1266,760,253,253,0.3,,1,True,False,0.0,0.0,0.0,0.047431,0.9209,0,12,0,1,,20
mozilla-beta,"ARIMA(1,1,1)",4167975,1266,760,253,253,0.3,,1,True,False,0.0,0.0,0.0,0.055336,0.913,0,14,0,1,,22
mozilla-beta,"ARIMA(1,1,1)",2085792,1248,749,250,249,0.3,,1,True,True,0.5,1.0,0.6667,0.004016,0.992,1,1,1,0,0.0,2
mozilla-beta,"ARIMA(1,1,1)",2170955,1248,749,250,249,0.3,,1,True,True,0.5,1.0,0.6667,0.004016,0.992,1,1,1,0,0.0,2
mozilla-beta,"ARIMA(1,1,1)",2881160,1243,746,249,248,0.3,,1,True,True,0.5,1.0,0.6667,0.004032,0.9919,1,1,1,0,0.0,2
mozilla-beta,"ARIMA(1,1,1)",2922669,1243,746,249,248,0.3,,4,True,True,0.4,1.0,0.5714,0.024194,0.9476,4,6,4,0,0.0,13
mozilla-beta,"ARIMA(1,1,1)",4168626,1237,742,247,248,0.3,,0,False,False,0.0,0.0,0.0,0.060484,0.8669,0,15,0,0,,33
mozilla-beta,"ARIMA(1,1,1)",4168628,1237,742,247,248,0.3,,0,False,False,0.0,0.0,0.0,0.044355,0.9516,0,11,0,0,,12
mozilla-beta,"ARIMA(1,1,1)",4168630,1237,742,247,248,0.3,,0,False,False,0.0,0.0,0.0,0.068548,0.7702,0,17,0,0,,57
mozilla-beta,"ARIMA(1,1,1)",4168632,1237,742,247,248,0.3,,0,False,False,0.0,0.0,0.0,0.060484,0.9234,0,15,0,0,,19
mozilla-beta,"ARIMA(1,1,1)",4169058,1237,742,247,248,0.3,,0,False,False,0.0,0.0,0.0,0.08871,0.875,0,22,0,0,,31
mozilla-beta,"ARIMA(1,1,1)",4169059,1237,742,247,248,0.3,,2,True,True,0.1667,0.5,0.25,0.060484,0.875,3,15,1,1,0.0,31
mozilla-beta,"ARIMA(1,1,1)",4169060,1237,742,247,248,0.3,,1,True,True,0.0588,1.0,0.1111,0.064516,0.8871,1,16,1,0,4.0,28
mozilla-beta,"ARIMA(1,1,1)",4169061,1237,742,247,248,0.3,,2,True,True,0.0588,0.5,0.1053,0.064516,0.879,1,16,1,1,5.0,30
mozilla-beta,"ARIMA(1,1,1)",4169063,1237,742,247,248,0.3,,0,False,False,0.0,0.0,0.0,0.076613,0.9032,0,19,0,0,,24
mozilla-beta,"ARIMA(1,1,1)",4169064,1237,742,247,248,0.3,,0,False,False,0.0,0.0,0.0,0.060484,0.8508,0,15,0,0,,37
mozilla-beta,"ARIMA(1,1,1)",4169065,1237,742,247,248,0.3,,0,False,False,0.0,0.0,0.0,0.064516,0.8468,0,16,0,0,,38
mozilla-beta,"ARIMA(1,1,1)",4169067,1237,742,247,248,0.3,,0,False,False,0.0,0.0,0.0,0.064516,0.8468,0,16,0,0,,38
mozilla-beta,"ARIMA(1,1,1)",4169069,1237,742,247,248,0.3,,0,False,False,0.0,0.0,0.0,0.060484,0.8508,0,15,0,0,,37
mozilla-beta,"ARIMA(1,1,1)",2170593,1212,727,242,243,0.3,,1,True,True,0.5,1.0,0.6667,0.004115,0.9753,1,1,1,0,0.0,6
mozilla-beta,"ARIMA(1,1,1)",2018739,1211,727,242,242,0.3,,1,True,True,0.5,1.0,0.6667,0.004132,0.9752,1,1,1,0,0.0,6
mozilla-beta,"ARIMA(1,1,1)",2017653,1207,724,241,242,0.3,,1,True,True,0.5,1.0,0.6667,0.004132,0.9917,1,1,1,0,0.0,2
mozilla-beta,"ARIMA(1,1,1)",2017654,1207,724,241,242,0.3,,4,True,True,0.3571,1.0,0.5263,0.03719,0.9339,5,9,4,0,-0.5,16
mozilla-beta,"ARIMA(1,1,1)",3892103,1199,719,240,240,0.3,,0,False,False,0.0,0.0,0.0,0.079167,0.9042,0,19,0,0,,23
mozilla-beta,"ARIMA(1,1,1)",3892105,1199,719,240,240,0.3,,0,False,False,0.0,0.0,0.0,0.070833,0.9125,0,17,0,0,,21
mozilla-beta,"ARIMA(1,1,1)",3892109,1199,719,240,240,0.3,,1,True,True,0.0714,1.0,0.1333,0.054167,0.9,1,13,1,0,-5.0,24
mozilla-beta,"ARIMA(1,1,1)",3892494,1199,719,240,240,0.3,,0,False,False,0.0,0.0,0.0,0.0875,0.8583,0,21,0,0,,34
mozilla-beta,"ARIMA(1,1,1)",3892495,1199,719,240,240,0.3,,0,False,False,0.0,0.0,0.0,0.091667,0.8875,0,22,0,0,,27
mozilla-beta,"ARIMA(1,1,1)",3892496,1199,719,240,240,0.3,,0,False,False,0.0,0.0,0.0,0.0875,0.8833,0,21,0,0,,28
mozilla-beta,"ARIMA(1,1,1)",3892497,1199,719,240,240,0.3,,0,False,False,0.0,0.0,0.0,0.075,0.9042,0,18,0,0,,23
mozilla-beta,"ARIMA(1,1,1)",3892499,1199,719,240,240,0.3,,0,False,False,0.0,0.0,0.0,0.083333,0.8833,0,20,0,0,,28
mozilla-beta,"ARIMA(1,1,1)",3892500,1199,719,240,240,0.3,,0,False,False,0.0,0.0,0.0,0.070833,0.8958,0,17,0,0,,25
mozilla-beta,"ARIMA(1,1,1)",3892502,1199,719,240,240,0.3,,0,False,False,0.0,0.0,0.0,0.075,0.8917,0,18,0,0,,26
mozilla-beta,"ARIMA(1,1,1)",4169272,1184,710,237,237,0.3,,2,True,True,0.1667,1.0,0.2857,0.042194,0.9451,2,10,2,0,0.0,13
mozilla-beta,"ARIMA(1,1,1)",4169276,1184,710,237,237,0.3,,0,False,False,0.0,0.0,0.0,0.101266,0.8692,0,24,0,0,,31
mozilla-beta,"ARIMA(1,1,1)",4169717,1184,710,237,237,0.3,,2,True,True,0.1111,1.0,0.2,0.067511,0.9114,2,16,2,0,0.0,21
mozilla-beta,"ARIMA(1,1,1)",4169718,1184,710,237,237,0.3,,2,True,True,0.25,1.0,0.4,0.050633,0.8861,4,12,2,0,-2.5,27
mozilla-beta,"ARIMA(1,1,1)",4169719,1184,710,237,237,0.3,,1,True,True,0.0526,1.0,0.1,0.075949,0.8903,1,18,1,0,-3.0,26
mozilla-beta,"ARIMA(1,1,1)",4169720,1184,710,237,237,0.3,,2,True,True,0.2222,1.0,0.3636,0.059072,0.8987,4,14,2,0,-2.5,24
mozilla-beta,"ARIMA(1,1,1)",4169722,1184,710,237,237,0.3,,2,True,True,0.2,1.0,0.3333,0.050633,0.9114,3,12,2,0,-2.5,21
mozilla-beta,"ARIMA(1,1,1)",4169723,1184,710,237,237,0.3,,0,False,False,0.0,0.0,0.0,0.07173,0.903,0,17,0,0,,23
mozilla-beta,"ARIMA(1,1,1)",4169724,1184,710,237,237,0.3,,0,False,False,0.0,0.0,0.0,0.059072,0.903,0,14,0,0,,23
mozilla-beta,"ARIMA(1,1,1)",4169726,1184,710,237,237,0.3,,0,False,False,0.0,0.0,0.0,0.063291,0.8987,0,15,0,0,,24
mozilla-beta,"ARIMA(1,1,1)",4169728,1184,710,237,237,0.3,,0,False,False,0.0,0.0,0.0,0.054852,0.9072,0,13,0,0,,22
mozilla-beta,"ARIMA(1,1,1)",4169630,1157,694,231,232,0.3,,0,False,False,0.0,0.0,0.0,0.064655,0.9181,0,15,0,0,,19
mozilla-beta,"ARIMA(1,1,1)",4169632,1157,694,231,232,0.3,,2,True,True,0.1429,1.0,0.25,0.051724,0.875,2,12,2,0,0.0,29
mozilla-beta,"ARIMA(1,1,1)",4169769,1157,694,231,232,0.3,,0,False,False,0.0,0.0,0.0,0.068966,0.8966,0,16,0,0,,24
mozilla-beta,"ARIMA(1,1,1)",4169770,1157,694,231,232,0.3,,0,False,False,0.0,0.0,0.0,0.060345,0.9095,0,14,0,0,,21
mozilla-beta,"ARIMA(1,1,1)",4169771,1157,694,231,232,0.3,,0,False,False,0.0,0.0,0.0,0.081897,0.8707,0,19,0,0,,30
mozilla-beta,"ARIMA(1,1,1)",4169772,1157,694,231,232,0.3,,0,False,False,0.0,0.0,0.0,0.060345,0.9095,0,14,0,0,,21
mozilla-beta,"ARIMA(1,1,1)",4169774,1157,694,231,232,0.3,,0,False,False,0.0,0.0,0.0,0.064655,0.9052,0,15,0,0,,22
mozilla-beta,"ARIMA(1,1,1)",4167843,1148,689,230,229,0.3,,0,False,False,0.0,0.0,0.0,0.061135,0.9083,0,14,0,0,,21
mozilla-beta,"ARIMA(1,1,1)",4167847,1148,689,230,229,0.3,,2,True,True,0.1667,1.0,0.2857,0.065502,0.8472,3,15,2,0,-3.5,35
mozilla-beta,"ARIMA(1,1,1)",4167849,1148,689,230,229,0.3,,1,True,True,0.1111,1.0,0.2,0.069869,0.8472,2,16,1,0,-1.0,35
mozilla-beta,"ARIMA(1,1,1)",4167990,1148,689,230,229,0.3,,0,False,False,0.0,0.0,0.0,0.074236,0.9214,0,17,0,0,,18
mozilla-beta,"ARIMA(1,1,1)",4167991,1148,689,230,229,0.3,,0,False,False,0.0,0.0,0.0,0.074236,0.9214,0,17,0,0,,18
mozilla-beta,"ARIMA(1,1,1)",4167993,1148,689,230,229,0.3,,0,False,False,0.0,0.0,0.0,0.065502,0.8996,0,15,0,0,,23
mozilla-beta,"ARIMA(1,1,1)",4167995,1148,689,230,229,0.3,,0,False,False,0.0,0.0,0.0,0.074236,0.9214,0,17,0,0,,18
mozilla-beta,"ARIMA(1,1,1)",4167996,1148,689,230,229,0.3,,0,False,False,0.0,0.0,0.0,0.091703,0.8952,0,21,0,0,,24
mozilla-beta,"ARIMA(1,1,1)",4167998,1148,689,230,229,0.3,,1,True,True,0.0556,1.0,0.1053,0.074236,0.8384,1,17,1,0,-5.0,37
