method,signature_id,T_total,T_train,T_test,On_Count,Enabled_Frac,Storage_Red,N_Activations,Trigger_Freq,N_Intervals,Median_Interval_Dur,Burst_Ratio,N_Alerts_Test,TP_Alerts,Alert_Coverage,TP_Intervals,FP_Intervals,Precision
ARIMA,4653699,602,421,181,19,0.105,0.895,10,0.055249,10,1.0,0.6316,1,1,1.0,1,9,0.1
ARIMA,4653700,602,421,181,13,0.0718,0.9282,10,0.055249,10,1.0,0.3077,1,1,1.0,1,9,0.1
ARIMA,4653701,602,421,181,11,0.0608,0.9392,7,0.038674,7,1.0,0.4545,1,1,1.0,1,6,0.1429
ARIMA,4653702,602,421,181,11,0.0608,0.9392,7,0.038674,7,1.0,0.4545,1,1,1.0,1,6,0.1429
ARIMA,4653705,602,421,181,14,0.0773,0.9227,7,0.038674,7,1.0,0.6429,1,1,1.0,1,6,0.1429
ARIMA,4653708,602,421,181,16,0.0884,0.9116,11,0.060773,11,1.0,0.5,0,0,,0,11,0.0
ARIMA,4653709,602,421,181,13,0.0718,0.9282,11,0.060773,11,1.0,0.2308,0,0,,0,11,0.0
ARIMA,4653710,602,421,181,15,0.0829,0.9171,11,0.060773,11,1.0,0.4,0,0,,0,11,0.0
ARIMA,4653716,602,421,181,14,0.0773,0.9227,8,0.044199,8,1.0,0.5714,1,1,1.0,1,7,0.125
ARIMA,4653771,562,393,169,8,0.0473,0.9527,8,0.047337,8,1.0,0.0,1,1,1.0,1,7,0.125
ARIMA,4653772,562,393,169,19,0.1124,0.8876,12,0.071006,12,1.0,0.4737,1,1,1.0,1,11,0.0833
ARIMA,4653782,562,393,169,38,0.2249,0.7751,22,0.130178,22,1.0,0.6579,0,0,,0,22,0.0
ARIMA,4653789,579,405,174,12,0.069,0.931,7,0.04023,7,1.0,0.5,1,1,1.0,1,6,0.1429
ARIMA,4653790,579,405,174,12,0.069,0.931,8,0.045977,8,1.0,0.4167,1,1,1.0,1,7,0.125
ARIMA,4653792,579,405,174,13,0.0747,0.9253,8,0.045977,8,1.0,0.4615,1,1,1.0,1,7,0.125
ARIMA,4653793,579,405,174,19,0.1092,0.8908,12,0.068966,12,1.0,0.4737,1,1,1.0,1,11,0.0833
ARIMA,4653825,567,396,171,9,0.0526,0.9474,7,0.040936,7,1.0,0.3333,1,1,1.0,1,6,0.1429
ARIMA,4653826,567,396,171,15,0.0877,0.9123,10,0.05848,10,1.0,0.6,1,1,1.0,1,9,0.1
ARIMA,4653828,567,396,171,8,0.0468,0.9532,6,0.035088,6,1.0,0.375,1,1,1.0,1,5,0.1667
ARIMA,4653829,567,396,171,8,0.0468,0.9532,4,0.023392,4,1.0,0.625,1,1,1.0,1,3,0.25
ARIMA,4653838,567,396,171,8,0.0468,0.9532,8,0.046784,8,1.0,0.0,0,0,,0,8,0.0
ARIMA,4653840,567,396,171,16,0.0936,0.9064,13,0.076023,13,1.0,0.3125,0,0,,0,13,0.0
ARIMA,4653842,567,396,171,20,0.117,0.883,16,0.093567,16,1.0,0.35,0,0,,0,16,0.0
ARIMA,4653861,596,417,179,16,0.0894,0.9106,10,0.055866,10,1.0,0.5,1,1,1.0,2,8,0.2
ARIMA,4653862,596,417,179,19,0.1061,0.8939,12,0.067039,12,1.0,0.5263,1,1,1.0,2,10,0.1667
ARIMA,4653863,596,417,179,12,0.067,0.933,10,0.055866,10,1.0,0.3333,1,1,1.0,1,9,0.1
ARIMA,4653864,596,417,179,19,0.1061,0.8939,9,0.050279,9,1.0,0.7368,1,1,1.0,2,7,0.2222
ARIMA,4653865,596,417,179,20,0.1117,0.8883,8,0.044693,8,2.0,0.8,1,1,1.0,2,6,0.25
ARIMA,4653867,596,417,179,34,0.1899,0.8101,18,0.100559,18,1.0,0.7059,0,0,,0,18,0.0
ARIMA,4653869,596,417,179,16,0.0894,0.9106,12,0.067039,12,1.0,0.3125,0,0,,0,12,0.0
ARIMA,4653870,596,417,179,17,0.095,0.905,13,0.072626,13,1.0,0.2941,0,0,,0,13,0.0
ARIMA,4653871,596,417,179,13,0.0726,0.9274,11,0.061453,11,1.0,0.3077,0,0,,0,11,0.0
ARIMA,4653873,596,417,179,16,0.0894,0.9106,12,0.067039,12,1.0,0.3125,0,0,,0,12,0.0
ARIMA,4653874,596,417,179,21,0.1173,0.8827,13,0.072626,13,1.0,0.5238,0,0,,0,13,0.0
ARIMA,4653876,596,417,179,21,0.1173,0.8827,15,0.083799,15,1.0,0.4286,0,0,,0,15,0.0
ARIMA,4653879,635,444,191,11,0.0576,0.9424,8,0.041885,8,1.0,0.4545,1,0,0.0,0,8,0.0
ARIMA,4653880,635,444,191,16,0.0838,0.9162,7,0.036649,7,1.0,0.75,1,1,1.0,1,6,0.1429
ARIMA,4653881,635,444,191,10,0.0524,0.9476,10,0.052356,10,1.0,0.0,0,0,,0,10,0.0
ARIMA,4653882,635,444,191,8,0.0419,0.9581,6,0.031414,6,1.0,0.375,1,0,0.0,0,6,0.0
ARIMA,4653883,635,444,191,11,0.0576,0.9424,9,0.04712,9,1.0,0.2727,1,1,1.0,2,7,0.2222
ARIMA,4653885,635,444,191,17,0.089,0.911,9,0.04712,9,1.0,0.6471,0,0,,0,9,0.0
ARIMA,4653887,635,444,191,10,0.0524,0.9476,9,0.04712,9,1.0,0.2,0,0,,0,9,0.0
ARIMA,4653888,635,444,191,20,0.1047,0.8953,15,0.078534,15,1.0,0.45,0,0,,0,15,0.0
ARIMA,4653889,635,444,191,20,0.1047,0.8953,13,0.068063,13,1.0,0.55,0,0,,0,13,0.0
ARIMA,4653890,635,444,191,19,0.0995,0.9005,14,0.073298,14,1.0,0.4737,0,0,,0,14,0.0
